label,news
false,"about half of the presidents have been governors; half of them, senators."
true,"after britains vote to leave the european union, within 24 hours, americans lost $100 billion from our 401(k)s."
true,"medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years."
true,says 88 texas constables have died in the line of duty.
true,"gov. rick scott cut the cost of prepaid college tuition by nearly $20,000."
true,"the city of columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions."
true,"as florida's cfo, i shut down krakow's scam and refunded more than $1.2 million to josephine and other victims of this con man."
true,you had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.
false,the air force wants taxpayers to fund a fantasy football league.
false,barack hussein obama will ... force courts to accept islamic sharia law in domestic disputes.
true,about 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.
true,some neighborhood schools are closing.
true,he told gay organizers in massachusetts he would be a stronger advocate for special rights than even ted kennedy.
true,"the years that i was speaker, the florida house consistently offered leaner budgets than the governor offered."
false,"we are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years."
true,says the u.s. supreme court found that social security is not guaranteed.
false,saysmichael bennet wants to close guantanamo bay prisonand bring terrorists right here to colorado.
true,oregonians have an amazing no-cost way to fight abortion with free political donations
false,"the president said hes going to bring in 250,000 (syrian and iraqi) refugees into this country."
false,"research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support."
true,newt gingrichs immigration plan offers a new doorway to amnesty.
false,mr. caprio is a career politician who has never worked in the private sector.
false,"in rhode island, 9 percent of workers use the states temporary disability insurance program each year while in new jersey, the rate is only 3 percent."
true,"in just 17 years, spending for social security, federal health care and interest on the debt will exceed all tax revenue!"
true,president obama took more money from wall street in the 2008 campaign than anybody ever had.
true,donald trump has said nuclear proliferation is ok.
true,"hillary clinton has taken over $800,000 from lobbyists."
false,barack obama has never even worked in business.
true,says the arizona immigration law expressly bans racial profiling.
false,says gov. rick perry has been begging for the federal government to send the coast guard to patrol two lakes on the u.s.-mexico border.
false,"on the va: over 300,000 veterans have died waiting for care."
true,were now spending 42 percent of our economy on government.
false,rob cornilles supports privatizing medicare.
false,"in 2005, dan branch tried to expand third-trimester abortions in texas."
true,we (democrats) have made steady progress creating jobs and improving our schools.
false,michigan and massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.
true,"whether you like to admit it or not, half our general revenue goes to education."
false,im the only one whos fought against developers draining the everglades!
true,says ron johnson calls social security a ponzi scheme and wants to privatize the program.
true,"there are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to north carolinas house bill 2."
false,climate change is directly related to the growth of terrorism.
false,the jobs bill includes president obamas tax on soup kitchens
false,says the obama administration spent taxpayer dollars on electric cars in finland (and) windmills in china.
true,while sarah was mayor of wasilla she tried to fire our highly respected city librarian because the librarian refused to consider removing from the library some books that sarah wanted removed.
true,"if milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture."
false,we have more illegal immigrants here than we did five years ago.
false,says rick perry wrote a letter supporting hillarycare.
false,the u.s. patent and trademark office received zero complaints about the washington redskins name.
false,"the presidents health care proposals will cause most americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage."
true,(mexican immigrants) are more law-abiding than u.s. citizens and that is a statistic.
true,says chris christie vetoed a jobs package of 30 bills.
true,there are already more american jobs in the solar industry than in coal mining.
true,says illinois gubernatorial candidate bill bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.
true,barack obama is in an economy thats only worsened since hes been president of the united states.
true,"romney failed to take action against ""sanctuary cities"" in massachusetts."
true,"says new jersey is down nearly 200,000 jobs from its pre-recession peak and with gov. chris christie new jersey has trailed the rest of america when it comes to unemployment for 12 consecutive months."
false,says thomas eric duncan came into the united states with an elevated temperature.
true,we have been in afghanistan longer now than we have been in any foreign land conducting a war in our nations history.
true,gas prices have gone up $2 since obama took office.
true,webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.
true,says judges get better benefits at a lower cost than everybody else in the state.
true,there are a lot of casinos across the country that have gone bankrupt.
true,small businesses create 70 percent of the jobs in america.
true,"seniors with coverage under medicare advantage will give up ""more than their share"" because of health care reform"
true,"over 12,000 school kids were arrested in florida. it makes florida the nations leader in that area."
true,if texas were a country our economy would rank # 10...in the world.
false,there are more oil rigs in operation in the united states than the rest of the world combined.
true,"payday lenders profit from the poor by charging 1,000-plus percent interest."
true,"the social security trust fund is sound. without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned."
true,it is a commitment voters take very seriously: the only incumbent in ohio to break his pledge and vote for ted stricklands income tax hike was defeated soundly on tuesday.
false,the obama administration shut down the amber alert program because of the government shutdown.
true,the republicans have 2 percent of the muslim vote.
true,"[w]e see americas prison population exploding, with america having a greater percentage of its people behind bars than any other nation in the world!"
false,"says that in a hearing, rep. gabrielle giffords suggested to gen. david petraeus that the army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output."
true,"every single one of the 41 republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on january 1, 2015."
true,"in texas, the no. 1 name for new male babies many of whom will vote one day is jose."
true,marco rubio voted against authorizing president obama to strike syria after assad used chemical weapons on his own people.
false,"under the cash for clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. and you're going to get $4,500."
false,not one republican has the guts to recognize that climate change is real.
true,"while our people work longer hours for lower wages, almost all new income goes to the top 1 percent."
false,david dewhurst has a record of promoting an income tax.
true,point pleasant beach does not own its beaches; they are privately owned and operated by businesses such as jenkinsons
false,"in the past year, more than 20 percent of americans have changed their mind about the war in afghanistan. they conclude we shouldn't be there."
false,"in the last five years, 28,000 people have been killed along the u.s.-mexico border."
false,the state of ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.
false,says obama health reform law denies millions access to affordable insurance.
false,says hb2 hasnt moved the needle one iota on north carolinas economy.
false,close to 30% of our federal prison population consists of illegal immigrants.
false,says rick scott called education not a core function of the state.
false,"the family research council, according to some government agencies, is a terrorist group."
true,"says rep. jim weidner proposed a bill taking away health care for 80,000 of oregons children."
true,says that in the 1985 election former gov. tom kean had the largest winning margin for a gubernatorial candidate in jersey history.
false,obamacare is the biggest tax increase in american history.
true,you ... said that barack obama was not ready to be commander in chief.
true,"the median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically."
false,milwaukee mayor tom barrett has held the line on property taxes.
true,im the only member of the house of representatives who raised most of his campaign funds in the last election from small contributions of less than $200.
true,"unlike the gridlock in washington, more than 80 percent of the bills we passed during this general assembly had bipartisan support."
false,josh mandel is lying about his own record. the rating of ohios investment fund has not improved.
true,"rick scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it."
true,on how money from a possible lease of the ohio turnpike would be used
true,"at the beginning of the last decade ... america had a budget surplus of over $200 billion. by the time i took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade."
true,"the president has had 1,540 of his nominations confirmed, only four defeated."
true,u.s. taxpayers are being forced to fund feisal abdul raufs trip to the middle east.
false,"milwaukee county taxpayers paid $370,000 to settle a lawsuit over a decision by sheriff david a. clarke jr. to use untrained corrections officers rather than deputies to patrol the lakefront."
true,there are justice department policies against fbi director james comey discussing details of a federal investigation so close to an election.
true,"democratic presidents ""have been considerably more effective at creating private-sector jobs."""
true,"joe biden ""voted against the first gulf war. he opposed the surge. he wanted to partition iraq."""
false,says rush limbaugh made it clear hed rather see the country fail than president barack obama succeed.
true,one percent of the american people make over 21 percent of all the income in america. that wasnt the way before george bush became president.
true,"military ""recruiting went on at harvard every single day throughout the time (kagan) was there."""
true,"says that under rick perrys plan, texas has cut funding for public schools by 25%."
true,"says david perdue wants to abolish the u.s. department of education, which would cost georgia schools $1 billion a year and eliminate millions in student loans."
true,the paul ryan budget proposal would privatize medicare.
true,high school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.
true,the united states imprisons more than any nation in the world.
false,says marco rubio is the one for an open border.
true,"...over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat."
false,says cuts to medicare affect people who have already paid in. we paid for it.
false,david alameel is giving thousands of dollars to support the republican party candidates including john cornyn and greg abbott.
true,the american healthcare system burns 18 percent of our national gdp. nobody else is close.
false,providences port is 200 miles closer to europe than any other eastern port.
true,says you need a photo id to purchase sudafed in texas.
true,twenty percent of housing in portlands pearl district is affordable.
true,"says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012."
true,hillary clinton supported nafta and permanent china trade. pennsylvania lost thousands of jobs.
true,numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.
true,"obama's budget plan would take national debt up to about 80 percent of gross national product. ... historically, it's been about 40 percent."
false,says hillary clinton said the veterans affairs scandal is over-exaggerated. she said she was satisfied with what was going on.
false,we now have driven (health care) costs down to the lowest theyve been in 50 years.
true,"president barack obama's ""initial response when we heard about the christmas underwear bomber"" was to say that ""this was the act of an isolated extremist."""
true,"says sen. sherrod brown admitted that his $787 billion stimulus law failed and after specifically attacking republicans for wanting to lower americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes."
true,"in the 1950s, ""a lot of people got rich and they had to pay a top tax rate of 90 percent."""
true,"the charleston, s.c., shootershould have never been given a gun, but the universal background check was not fast enough."
false,sixty-five percent of the iraqi people now say it's okay to shoot an american soldier.
false,twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.
true,says gov. chris christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.
true,warren (buffett) still does support me.
true,says george lemieux was one of two republicans who voted for president barack obamas jobs bill.
false,a precinct in the allen west-patrick murphy recount has 7 registered voters in guatemalan community and the tally showed 900 voted!!!!!
true,"about 230,000 people that were on unemployment when i took office are not on unemployment now."
false,"one person, kathleen sebelius, was going to determine whether or not 10-year-old lung patient sarah murnaghan would live or die."
false,ron klein repeatedly voted in favor of amnesty for illegal immigrants.
false,local law enforcement . . . will have access to the [obamacare] data hubs treasure trove of personal info.
true,"during his tenure as mayor, he saw houstons crime rates drop to the lowest levels in more than 25 years."
false,barack obamas columbia university id says he was a foreign student and went by barry soetoro.
false,"john mccain, ""one of the richest people in a senate filled with millionaires,"" says the solution to the housing crisis is for people to get a ""second job"" and ""skip their vacations."""
false,"terry mcauliffe wants to raise your taxes $1,700 to pay for his infinite promises."
true,"hypocrisy at the clinton foundation: top male staff made on average $218,029 while top female staff made $153,014 from 2010-2014."
true,"since the federal violence against women act was adopted in 1994, cases of domestic violence have fallen by 67 percent."
true,says federal law enforcement officers cut off questioning of the christmas day underwear bomber by giving him a miranda warning after 30 minutes of questioning.
true,on legalizing illegal immigrants.
true,nearly half of all pregnancies in the u.s. are unintended.
true,"we are ""borrowing saudi money for saudi oil"" with the result being ""dependency and debt."""
true,"says there are homes for sale on and around (oswego lake) right now for under $150,000 that anyone is welcome to buy."
true,"since the president became the president, we have lost 3.3 million jobs in the private sector. but you know whos done ok and whos not complaining today? the public sector. weve gained 590,000 public sector jobs."
false,the top 1 percent pay over half of the entire revenue for this country.
false,the difference over the (previous) four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money.
true,chris christie has not increased the taxes on anyone.
false,the united states does not have a system through which growers and dairies can bring a workforce legally into the u.s.
false,says he never said he would keep education funding the same.
true,"since 1978, college tuition nationwide has gone up something like four times the rate of inflation."
true,"says sen. rob portman said, it would be irresponsible not to cut medicare."
true,"most of, if not all of, the [dekalb school construction] projects always came in on or were under budget."
false,(palin) supported right-wing extremist pat buchanan for president in 2000.
false,says sen. sherrod brown voted to block american energy production and increase energy taxes.
false,says jeanne shaheen voted for a measure that would have amounted to a new national energy tax.
true,"washington, d.c., had some of the strictest gun laws in the country. and when they passed them, violence skyrocketed."
true,seven presidents before (barack obama) -- republicans and democrats -- tried to expand health care to all americans.
false,"while fighting a move to toughen penalties for workplace gender discrimination, state sen. glenn grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies."
false,"if you put the $47 billion in revenue (raised over 10 years by the buffett rule) into infrastructure you could create 611,000 infrastructure jobs."
false,what is the proper collective noun for a group of baboons? believe it or not . . . a congress!
true,i have repeatedly said that many of the predatory loans that were made in the mortgage system did target african-american and latino communities.
true,"starting in december 2007, 1.4 million jobs were created in texas. in that same period, the rest of the country lost 400,000 jobs."
false,the (health reform) legislation which washington passed last year has made it more difficult to hire because its increased costs for employers.
false,"the cbo, the congressional budget office has said that obamacare will kill 800,000 jobs."
false,"thompson ""voted against $250,000 caps on damages (and) almost anything that would make our legal system fairer."""
false,texas this fiscal year will have more money in reserve than the other 49 states combined.
false,on using the strategic petroleum reserve.
true,immigrants are more fertile.
true,"the proposed education changes ""will not cut one teacher's pay."""
false,the number of uninsured people in massachusetts is about the same as it was when the mandates were passed in 2006.
true,firearms homicides are down about 40 percent since texas passed concealed-gun permit law.
false,upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.
false,we spend less on defense today as % of gdp than at any time since pearl harbor.
true,if you got rid of the income tax today you'd have about as much revenue as we had 10 years ago.
true,"says scott walker wants to ban common forms of birth control, including the pill."
false,jason kander supports [obamas] plan to bring the remaining suspected terrorists to u.s. soil.
true,"shelby county donated im sorry, gave 44 schools to the city of memphis."
true,"top u.s. intelligence officials have toldevery member of congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from syria and iraq."
true,have the suburbs been inundated with former residents of atlanta housing projects? absolutely not.
true,"in july 1996, mitt romney helped locate the missing teenage daughter of a partner at bain capital."
false,blames mike mcintyre and nancy pelosi for the second straight year of no cost-of-living increases for social security beneficiaries.
false,the government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it.
true,there are mechanisms in place to shut down the internet privately.
false,the american people support defunding obamacare and oppose shutting down the government.
true,report that #gop insisting on changes to social security as part of #fiscalcliff false. btw those changes are supported by @barackobama.
true,"nobody has played clips over and over ...of president obama (saying), if they bring a knife to the fight, well bring a gun."
false,the people of rhode island dont want same-sex marriage.
true,"rep. paul ryans medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit."
false,this year in congress (connie mack iv) has missed almost half of his votes.
false,"1/3 of our kids drop out (of high school), cannot go to college or start a career."
false,not even old gen. eisenhower saluted military personnel as president.
true,"if wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts."
false,"you cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun."
false,74 percent of republicans support the affordable care act.
true,"for every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line."
true,"the federal government has $3 trillion in cash flow, so we can pay our bills and wont default."
false,says alex sink failed florida homeowners by using predatory lending practices.
false,over 40 percent of small and mid-size banks that loan money to small businesses have been wiped out since dodd-frank has passed.
false,you cant check out a library book without a photo id.
false,says that starbucks took christmas off of their brand new cups.
true,atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch.
false,"hillary clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding."
true,"under legislation that has cleared the georgia house, some children who are legal refugees could obtain state scholarships to attend private schools."
true,"we went from losing 3 million jobs in the last six months of the bush administration, adding almost 600,000 private sector jobs in the first six months of the year."
true,the star ohio fund just received the highest possible credit rating one of these funds can receive.
true,"taxpayers are on the hook ... for less than a third of the proposed new atlanta falcons stadium, and those funds are repaid from money that comes from outsiders."
true,"in the last 22 months, businesses have created more than 3 million jobs. last year, they created the most jobs since 2005."
true,"every year, more than $40 million are leaving missouri for the lone star state."
true,a college loan is the only loan in the united states that you cannot refinance when interest rates go down.
true,the house of representatives has never passed a resolution of disapproval to condemn a member's behavior.
true,"we are younger than our competitors, and this is entirely because of immigration."
true,recent international reports show the united states near the bottom among industrialized nations for k-12 academic achievement.
true,"says 24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home."
true,"the policy mistakes that ... the clintons made got us, in large degree, to the situation that we are in today with mass incarceration."
false,says he raised average family income by 50 percent during his tenure as arkansas governor.
true,they tried to give us $400 million to build a high-speed train that goes 39 miles an hour.
true,"says the cbo estimates that fully extending the bush tax cuts would add 600,000-1.4 million jobs in 2011 and 900,000-2.7 million jobs in 2012."
true,president reagan did it (raised the debt ceiling) 18 times. george w. bush did it seven times.
true,"according to david cay johnston, the average american pays about 22 percent of their income to federal taxes. the richest 400 americans pay about 16 percent of their income to federal taxes."
false,"most young americans right now, theyre not covered by health insurance."
true,"in 1952, the corporate income tax accounted for 33 percent of all federal tax revenue. today, despite record-breaking profits, corporate taxes bring in less than 9 percent."
true,"over the last 10 years, texas created 33 percent of the net new jobs nationwide."
false,says two-thirds of groups targeted for irs scrutiny were not conservative.
false,"in the class of 1968 at patrice lumumba university in moscow, mahmoud abbas was one of the members of that class, and so was ali khamenei. and thats where they first established relationships with the young vladimir putin."
true,"last week the texas state board of education (sboe), led by rick perrys appointee, voted to remove thomas jefferson from social studies textbook standards. thats right. thomas jefferson... was deleted from a list of historical figures who inspired political change."
false,"as a u.s. senator with salary and perks, ‪#bernie‬ is in the top 1 percent, but still paid only 13 percent in taxes last year."
true,"you know we can't just pull out now... the truth of the matter is: if we started today, it would take one year, one year to get 160,000 troops physically out of iraq, logistically."
true,"from 2013-2015, the richest 14 americans increased their net wealth by more than $157 billion, yet the republican budget would not require these americans to contribute one penny to deficit reduction."
true,"says that while foster was mayor, rick kriseman was ineffective in the florida house of representatives because there was no legislation that passed the house that had (krisemans) name on it."
true,says texas routinely gets a lot more federal spending than it pays in taxes.
false,cell phone numbers go public this month.
false,says it has offered $12 million in savings through 2011 and $184 million in savings over the next 25 years in contract negotiations with the city of milwaukee.
false,clackamas county commissioners approved a re-negotiated agreement to lower the countys contribution to trimets portland-milwaukie light rail project to $19.9 million from $25 million.
true,says texas has 11 different felonies you can commit with an oyster.
false,the obama administration is unwinding our nations welfare-to-work requirements.
true,"electric car sales in georgia have dropped dramatically since a $5,000 tax credit was eliminated and a $200 annual registration fee was imposed july 1."
true,the redskins training camp deal generated $40 million in new private investment in the city.
true,the gop budget plan would cut nearly a million jobs.
true,there are more people living in this country who were not born here than at anytime in the history of the country.
true,says hillary clinton defended syrias president assad as a possible reformer at the start of that countrys civil war.
true,"the postal services financial losses result from a 2006 law that drains $5 billion a year from post office revenue, while the postal service is forced to overpay billions more into federal accounts."
true,as many as six federal department budget bills have been delayed because of opposition to amendments that would ban confederate battle flag sales at federal building gift shops.
false,"shes voted for 60 tax increases, hurting the middle class and small businesses."
false,"now, in the house of representatives, we have 40 different jobs bills that have passed and almost all of them have been bipartisan."
false,"sheila jackson lee of texas said: hey, all you wrinkly, white-aged has-beens: its time for you to die and let the next generation have your spot on the planet."
false,"republican (small business tax cut) bill spends $80 million for better google searches, not job creation"
true,a 2013 state law would allow the operator of an iron ore mine in northern wisconsin to fill in pristine streams and ponds with mine waste.
false,america is one of the highest-taxed nations in the world.
false,"if black america were a country, itd be the 15th wealthiest nation in the world."
true,"since republicans took over after the 2010 election, the graduation rate in wisconsin has gone from 86 percent to 88 percent. the black graduation rate has gone from 60 percent to 65 percent. the latino graduation rate has gone from 65 percent to 71 percent."
